int cos[] = { 38 ,     19  ,    82  ,    22     , 35  ,    80,      90    ,  81  ,    76 ,     65  ,    42  ,    87  };
double pr[] = {  0.655675   ,   0.555315  ,    0.904019     , 0.567354   ,   0.642125    ,  0.894055     , 0.947615,      0.894818 ,     0.871899  ,    0.807611  ,    0.680563,      0.928327  };

#49
int dur[] = {7,2,8,3,6,9,1,6,1,3,7,5};
int cos[] = { 30    ,  87 ,     30   ,   32    ,  58   ,   98  ,    14   ,   17    ,  57 ,     48    ,  18  ,    33  };
double pr[] = {  0.614246   ,   0.931791     , 0.614719    ,  0.624775     , 0.771203   ,   0.992416  ,    0.526902 ,     0.540712    ,  0.762337 ,     0.713401 ,     0.547334    ,  0.629398  };

#50
int dur[] = {9,6,10,3,2,7,4,2,2,9,2,1};
int cos[] = { 90  ,    30    ,  23    ,  21    ,  93   ,   17    ,  14   ,   15     , 40   ,   92   ,   45   ,   48 };
double pr[] = { 0.945769 ,     0.616382 ,     0.573275    ,  0.562548  ,    0.965819   ,   0.540056   ,   0.523545,      0.529359   ,   0.668203 ,     0.957350  ,    0.699301    ,  0.716391 };

#51
int dur[] = {10,6,4,1,9,5,8,7,9,1,4,4};
int cos[] = {  95   ,   85  ,    58     , 85    ,  72   ,   45    ,  33  ,    10    ,  57  ,    95   ,   45 ,     31  };
double pr[] = { 0.973083 ,     0.918592   ,   0.767113  ,    0.921049    ,  0.846767   ,   0.698843   ,   0.629582   ,   0.502167  ,    0.762795 ,     0.977401    ,  0.699347  ,    0.620548 };

#52
int dur[] = {7,2,1,1,2,5,3,10,2,6,3,4};
int cos[] = { 62   ,   32   ,   71    ,  95,      49  ,    90  ,    10   ,   94    ,  64 ,     80  ,    61  ,    22 };
double pr[] = { 0.792779   ,   0.627567 ,     0.842006    ,  0.972640   ,   0.717750    ,  0.945112    ,  0.503586  ,    0.970489    ,  0.800775   ,   0.893078    ,  0.788339  ,    0.571215 };

#53
int dur[] = {3,3,3,2,2,2,3,9,4,3,3,5};
int cos[] = {  30   ,   44    ,  10   ,   47   ,   17     , 69,      86  ,    15   ,   82   ,   69   ,   72   ,   82 };
double pr[] = {   0.611164  ,    0.691504   ,   0.502136   ,   0.708960  ,    0.541124   ,   0.829966 ,     0.927549 ,     0.532426 ,     0.905530  ,    0.831034  ,    0.845744    ,  0.901349   };

#54
int dur[] = {7,3,4,10,6,6,7,3,4,10,6,10};
int cos[] = { 57   ,   71   ,   22 ,     72   ,   75   ,   79  ,    12   ,   88   ,   68   ,   73 ,     17    ,  59  };
double pr[] = {  0.765069  ,    0.842814     , 0.571383   ,   0.844752,      0.863948   ,   0.888867  ,    0.515534  ,    0.934339   ,   0.822260  ,    0.853282   ,   0.542726   ,   0.775994};

#55
int dur[] = {6,7,4,8,9,3,4,7,1,8,10,8};
int cos[] = {  95    ,  15 ,     34    ,  23   ,   98   ,   65  ,    36   ,   93    ,  43 ,     72,      29  ,    24   };
double pr[] = {  0.973952 ,     0.529389 ,     0.637486   ,   0.572588  ,    0.990890 ,     0.809992   ,   0.646123   ,   0.961241 ,     0.683767   ,   0.847270    ,  0.609317   ,   0.577960  };

#56
int dur[] = {1,7,9,1,9,7,8,4,3,6,10,3};
int cos[] = { 31   ,   56     , 91   ,   19    ,  91  ,    49 ,     17   ,   80    ,  25  ,    97     , 79 ,     88  };
double pr[] = { 0.620273 ,     0.760720 ,     0.951140 ,     0.553209   ,   0.951323,      0.720862,      0.540056  ,    0.891049  ,    0.585894,      0.987197  ,    0.887936   ,   0.935194  };

#57
int dur[] = {6,8,2,10,9,10,7,9,7,6,8,2};
int cos[] = { 28  ,    51     , 10    ,  77    ,  20     , 46    ,  38   ,   99 ,     13  ,    32    ,  27    ,  32    };
double pr[] = {  0.605319 ,     0.728309    ,  0.501877  ,    0.875317     , 0.557024    ,  0.702353 ,     0.655568 ,     0.996307    ,  0.519288,      0.626041,      0.594638   ,   0.623844 };

#58
int dur[] = {4,4,2,3,8,4,6,8,2,1,1,5};
int cos[] = {  23    ,  65   ,   89    ,  94   ,   27   ,   80 ,     68  ,    69    ,  91   ,   50 ,     92   ,   69   };
double pr[] = { 0.576754  ,    0.810160,      0.942686  ,    0.969543    ,  0.597827  ,    0.889828   ,   0.822779   ,   0.828379   ,   0.954573,      0.727729     , 0.960646  ,    0.832087  };

#59
int dur[] = {5,1,7,10,2,5,5,1,7,9,7,2};
int cos[] = { 23  ,    67    ,  61   ,   47   ,   94    ,  58   ,   62  ,    58    ,  32   ,   45    ,  41   ,   13  };
double pr[] = { 0.575381   ,   0.818171  ,    0.784768   ,   0.711020  ,    0.971511   ,   0.770287   ,   0.789285 ,     0.768227    ,  0.627644 ,     0.698477     , 0.675130   ,   0.518311 };

#60
int dur[] = {7,6,9,10,5,9,1,5,7,4,6,6};
int cos[] = {  81   ,   27  ,    16    ,  45  ,    63    ,  16  ,    27  ,    24   ,   67    ,  50   ,   64  ,    72 };
double pr[] = {   0.897626   ,   0.598254   ,   0.535142    ,  0.694708   ,   0.795373    ,  0.535463 ,     0.598834  ,    0.577944  ,    0.822169   ,   0.727165  ,    0.802149     , 0.848674   };
